asset_id,sewer_type,install_date,top_elev,target,lon,lat,S_2YR,D_2YR,S_5YR,D_5YR,S_10YR,D_10YR,S_50YR,D_50YR,S_100YR,D_100YR,S_AUG0124,D_AUG0124,S_AUG0821,D_AUG0821,S_AUG1724,D_AUG1724,S_AUG1905,D_AUG1905,S_MAY0117,D_MAY0117
MH4245613445,Storm,1983-01-01,167.90,Grp1a,-79.392504,43.724011,OK,-2.662,OK,-2.659,OK,-2.657,OK,-2.653,OK,-2.652,OK,-2.624,OK,-2.640,OK,-2.631,OK,-2.627,OK,-2.640
MH4427611622,Storm,1947-01-01,175.10,Grp1a,-79.415100,43.740416,OK,-0.001,FLOODED,0.017,FLOODED,0.026,FLOODED,0.037,FLOODED,0.040,FLOODED,0.112,FLOODED,0.070,FLOODED,0.096,FLOODED,0.103,FLOODED,0.071
MH4408612691,Storm,1952-01-01,127.40,Grp1a,-79.401834,43.738678,OK,-5.320,OK,-5.277,OK,-5.169,OK,-4.930,OK,-4.848,OK,-0.795,OK,-3.397,OK,-1.816,OK,-1.359,OK,-3.306
MH4531012192,Storm,1955-01-01,156.47,Grp1a,-79.407922,43.749596,OK,-3.432,OK,-3.430,OK,-3.428,OK,-3.426,OK,-3.425,OK,-3.408,OK,-3.417,OK,-3.411,OK,-3.409,OK,-3.417
MH4261013617,Storm,1983-01-01,164.03,Grp1a,-79.390364,43.725390,OK,-0.525,OK,-0.195,OK,-0.279,OK,-0.266,OK,-0.257,FLOODED,0.239,OK,-0.101,OK,-0.047,OK,-0.137,OK,-0.095
MH4208716896,Storm,1969-01-01,124.15,Grp1a,-79.349670,43.720644,OK,-1.892,OK,-1.886,OK,-1.890,OK,-1.890,OK,-1.889,OK,-1.881,OK,-1.886,OK,-1.883,OK,-1.882,OK,-1.886
MH4439813357,Storm,1952-01-01,123.61,Grp1a,-79.393562,43.741487,FLOODED,0.376,FLOODED,0.510,FLOODED,0.330,FLOODED,0.476,FLOODED,0.524,FLOODED,1.006,FLOODED,1.125,FLOODED,0.457,FLOODED,0.398,FLOODED,0.461
MH4780308467,Storm,1977-01-01,179.71,Grp1a,-79.454244,43.772179,OK,-2.958,OK,-2.835,OK,-2.653,OK,-1.844,OK,-1.490,FLOODED,0.160,FLOODED,0.110,FLOODED,0.140,FLOODED,0.143,FLOODED,0.112
MH4303513897,Storm,1952-01-01,149.31,Grp1a,-79.386884,43.729214,OK,-2.500,OK,-2.485,OK,-2.477,OK,-2.463,OK,-2.459,OK,-1.135,OK,-1.584,OK,-1.244,OK,-1.189,OK,-1.555
MH4431514224,Storm,1961-01-01,160.76,Grp1a,-79.382798,43.740734,OK,-6.489,OK,-6.480,OK,-6.475,OK,-6.467,OK,-6.465,OK,-6.408,OK,-6.439,OK,-6.420,OK,-6.414,OK,-6.438
